1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
1,ron,siralak,student,2000,100
2,test01,test001,student,3000,200
3,test02,test002,student,4000,300
4,test03,test003,student,5000,400
